ensembl_gene_id	go_id	description	name_1006	namespace_1003	beebase
LOC551834	GO:0005525	large subunit GTPase 1 homolog	GTP binding	molecular_function	GB40342
LOC551834	GO:0003924	large subunit GTPase 1 homolog	GTPase activity	molecular_function	GB40342
LOC727596	GO:0030246	malectin, transcript variant X2	carbohydrate binding	molecular_function	GB40712
LOC551125	GO:0005840	40S ribosomal protein S15Aa	ribosome	cellular_component	GB49170
LOC551125	GO:0003735	40S ribosomal protein S15Aa	structural constituent of ribosome	molecular_function	GB49170
LOC551125	GO:0006412	40S ribosomal protein S15Aa	translation	biological_process	GB49170
LOC102653881	GO:0016614	glucose dehydrogenase [FAD, quinone]-like	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	
LOC102653881	GO:0050660	glucose dehydrogenase [FAD, quinone]-like	flavin adenine dinucleotide binding	molecular_function	
LOC410402	GO:0004252	serine proteinase stubble, transcript variant X6	serine-type endopeptidase activity	molecular_function	GB54762
LOC410402	GO:0006508	serine proteinase stubble, transcript variant X6	proteolysis	biological_process	GB54762
LOC727205	GO:0000127	general transcription factor 3C polypeptide 5	transcription factor TFIIIC complex	cellular_component	GB52658
LOC727205	GO:0006384	general transcription factor 3C polypeptide 5	transcription initiation from RNA polymerase III promoter	biological_process	GB52658
LOC100576703	GO:0005525	sarcalumenin, transcript variant X6	GTP binding	molecular_function	GB41495
LOC726461	GO:0005515	protein shank, transcript variant X7	protein binding	molecular_function	GB55578
LOC100576864	GO:0007099	myosin-2 heavy chain, transcript variant X2	centriole replication	biological_process	GB54019
LOC100576864	GO:1902017	myosin-2 heavy chain, transcript variant X2	regulation of cilium assembly	biological_process	GB54019
LOC413675	GO:0006406	nuclear pore complex protein Nup107	mRNA export from nucleus	biological_process	GB47391
LOC413675	GO:0006606	nuclear pore complex protein Nup107	protein import into nucleus	biological_process	GB47391
LOC413675	GO:0017056	nuclear pore complex protein Nup107	structural constituent of nuclear pore	molecular_function	GB47391
LOC413675	GO:0031080	nuclear pore complex protein Nup107	nuclear pore outer ring	cellular_component	GB47391
LOC413675	GO:0031965	nuclear pore complex protein Nup107	nuclear membrane	cellular_component	GB47391
LOC413675	GO:0005643	nuclear pore complex protein Nup107	nuclear pore	cellular_component	GB47391
LOC725679	GO:0003676	sex-lethal homolog, transcript variant X6	nucleic acid binding	molecular_function	GB43841
LOC725679	GO:0003723	sex-lethal homolog, transcript variant X6	RNA binding	molecular_function	GB43841
LOC725679	GO:1990904	sex-lethal homolog, transcript variant X6	ribonucleoprotein complex	cellular_component	GB43841
LOC113218895	GO:0006450	glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	regulation of translational fidelity	biological_process	
LOC552642	GO:0005524	DNA replication licensing factor Mcm3	ATP binding	molecular_function	GB48847
LOC552642	GO:0003677	DNA replication licensing factor Mcm3	DNA binding	molecular_function	GB48847
LOC552642	GO:0042555	DNA replication licensing factor Mcm3	MCM complex	cellular_component	GB48847
LOC552642	GO:0006270	DNA replication licensing factor Mcm3	DNA replication initiation	biological_process	GB48847
LOC552642	GO:0003678	DNA replication licensing factor Mcm3	DNA helicase activity	molecular_function	GB48847
LOC552642	GO:0032508	DNA replication licensing factor Mcm3	DNA duplex unwinding	biological_process	GB48847
GeneID_406112	GO:0006355	period circadian protein	regulation of transcription, DNA-templated	biological_process	GB52077
GeneID_406112	GO:0005634	period circadian protein	nucleus	cellular_component	GB52077
GeneID_406112	GO:0006357	period circadian protein	regulation of transcription by RNA polymerase II	biological_process	GB52077
GeneID_406112	GO:0048856	period circadian protein	anatomical structure development	biological_process	GB52077
LOC410538	GO:0016021	probable C-mannosyltransferase DPY19L1, transcript variant X5	integral component of membrane	cellular_component	GB52722
LOC410538	GO:0000030	probable C-mannosyltransferase DPY19L1, transcript variant X5	mannosyltransferase activity	molecular_function	GB52722
LOC412361	GO:0008289	START domain-containing protein 10, transcript variant X1	lipid binding	molecular_function	GB51536
LOC552081	GO:0005509	calcium uptake protein 1 homolog, mitochondrial, transcript variant X2	calcium ion binding	molecular_function	GB49936
LOC552081	GO:0006851	calcium uptake protein 1 homolog, mitochondrial, transcript variant X2	mitochondrial calcium ion transmembrane transport	biological_process	GB49936
LOC100576746	GO:0016021	uncharacterized LOC100576746, transcript variant X3	integral component of membrane	cellular_component	GB41967
LOC100576746	GO:0004930	uncharacterized LOC100576746, transcript variant X3	G protein-coupled receptor activity	molecular_function	GB41967
LOC100576746	GO:0007186	uncharacterized LOC100576746, transcript variant X3	G protein-coupled receptor signaling pathway	biological_process	GB41967
LOC413053	GO:0005515	serine-threonine kinase receptor-associated protein	protein binding	molecular_function	GB43989
LOC724629	GO:0005840	40S ribosomal protein S28	ribosome	cellular_component	
LOC724629	GO:0003735	40S ribosomal protein S28	structural constituent of ribosome	molecular_function	
LOC724629	GO:0006412	40S ribosomal protein S28	translation	biological_process	
LOC410227	GO:0016491	inactive hydroxysteroid dehydrogenase-like protein 1, transcript variant X1	oxidoreductase activity	molecular_function	GB48364
LOC551708	GO:0006886	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	intracellular protein transport	biological_process	GB52737
LOC551708	GO:0030897	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	HOPS complex	cellular_component	GB52737
LOC551708	GO:0035542	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	regulation of SNARE complex assembly	biological_process	GB52737
LOC551708	GO:0042144	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	vacuole fusion, non-autophagic	biological_process	GB52737
LOC551708	GO:0005764	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	lysosome	cellular_component	GB52737
LOC551708	GO:0005769	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	early endosome	cellular_component	GB52737
LOC551708	GO:0005770	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	late endosome	cellular_component	GB52737
LOC551708	GO:0005794	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	Golgi apparatus	cellular_component	GB52737
LOC551708	GO:0010008	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	endosome membrane	cellular_component	GB52737
LOC551708	GO:0030136	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	clathrin-coated vesicle	cellular_component	GB52737
LOC551708	GO:0016192	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	vesicle-mediated transport	biological_process	GB52737
LOC551708	GO:0046907	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	intracellular transport	biological_process	GB52737
LOC551708	GO:0006623	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	protein targeting to vacuole	biological_process	GB52737
LOC551708	GO:0005515	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3	protein binding	molecular_function	GB52737
LOC725357	GO:0005761	uncharacterized LOC725357, transcript variant X3	mitochondrial ribosome	cellular_component	GB46595
LOC725357	GO:0032543	uncharacterized LOC725357, transcript variant X3	mitochondrial translation	biological_process	GB46595
LOC413689	GO:0016021	solute carrier family 12 member 8	integral component of membrane	cellular_component	GB53700
LOC413689	GO:0055085	solute carrier family 12 member 8	transmembrane transport	biological_process	GB53700
LOC413689	GO:0016020	solute carrier family 12 member 8	membrane	cellular_component	GB53700
LOC413689	GO:0006811	solute carrier family 12 member 8	ion transport	biological_process	GB53700
LOC413689	GO:0015377	solute carrier family 12 member 8	cation:chloride symporter activity	molecular_function	GB53700
LOC411335	GO:0016021	transmembrane protein 199	integral component of membrane	cellular_component	GB17757
LOC411335	GO:0070072	transmembrane protein 199	vacuolar proton-transporting V-type ATPase complex assembly	biological_process	GB17757
LOC412690	GO:0016021	probable palmitoyltransferase Zdhhc6	integral component of membrane	cellular_component	GB49638
LOC412690	GO:0019706	probable palmitoyltransferase Zdhhc6	protein-cysteine S-palmitoyltransferase activity	molecular_function	GB49638
LOC412690	GO:0016409	probable palmitoyltransferase Zdhhc6	palmitoyltransferase activity	molecular_function	GB49638
LOC412739	GO:0005515	roundabout homolog 2	protein binding	molecular_function	GB40316
LOC413660	GO:0005524	ATP-dependent RNA helicase DDX54	ATP binding	molecular_function	GB40674
LOC413660	GO:0005634	ATP-dependent RNA helicase DDX54	nucleus	cellular_component	GB40674
LOC413660	GO:0003676	ATP-dependent RNA helicase DDX54	nucleic acid binding	molecular_function	GB40674
LOC413660	GO:0003723	ATP-dependent RNA helicase DDX54	RNA binding	molecular_function	GB40674
LOC413660	GO:0005730	ATP-dependent RNA helicase DDX54	nucleolus	cellular_component	GB40674
LOC413660	GO:0003724	ATP-dependent RNA helicase DDX54	RNA helicase activity	molecular_function	GB40674
LOC551188	GO:0046982	ankyrin repeat and BTB/POZ domain-containing protein BTBD11, transcript variant X3	protein heterodimerization activity	molecular_function	GB42979
LOC551188	GO:0005515	ankyrin repeat and BTB/POZ domain-containing protein BTBD11, transcript variant X3	protein binding	molecular_function	GB42979
LOC413590	GO:0005506	alkylglycerol monooxygenase	iron ion binding	molecular_function	GB44006
LOC413590	GO:0016491	alkylglycerol monooxygenase	oxidoreductase activity	molecular_function	GB44006
LOC413590	GO:0008610	alkylglycerol monooxygenase	lipid biosynthetic process	biological_process	GB44006
GeneID_100191002	GO:0005840	ribosomal protein L41	ribosome	cellular_component	
GeneID_100191002	GO:0003735	ribosomal protein L41	structural constituent of ribosome	molecular_function	
GeneID_100191002	GO:0006412	ribosomal protein L41	translation	biological_process	
LOC409313	GO:0005524	actin-related protein 2, transcript variant X1	ATP binding	molecular_function	GB51588
LOC409313	GO:0005885	actin-related protein 2, transcript variant X1	Arp2/3 protein complex	cellular_component	GB51588
LOC409313	GO:0034314	actin-related protein 2, transcript variant X1	Arp2/3 complex-mediated actin nucleation	biological_process	GB51588
LOC409313	GO:0007015	actin-related protein 2, transcript variant X1	actin filament organization	biological_process	GB51588
LOC409313	GO:0005856	actin-related protein 2, transcript variant X1	cytoskeleton	cellular_component	GB51588
LOC409313	GO:0003779	actin-related protein 2, transcript variant X1	actin binding	molecular_function	GB51588
LOC409313	GO:0005737	actin-related protein 2, transcript variant X1	cytoplasm	cellular_component	GB51588
LOC410534	GO:0005524	uncharacterized LOC410534	ATP binding	molecular_function	GB52718
LOC410534	GO:0005634	uncharacterized LOC410534	nucleus	cellular_component	GB52718
LOC410534	GO:0003677	uncharacterized LOC410534	DNA binding	molecular_function	GB52718
LOC410534	GO:0006355	uncharacterized LOC410534	regulation of transcription, DNA-templated	biological_process	GB52718
LOC410534	GO:0003700	uncharacterized LOC410534	DNA-binding transcription factor activity	molecular_function	GB52718
LOC725134	GO:0005737	nuclear RNA export factor 1, transcript variant X2	cytoplasm	cellular_component	
LOC725134	GO:0005634	nuclear RNA export factor 1, transcript variant X2	nucleus	cellular_component	
LOC725134	GO:0003676	nuclear RNA export factor 1, transcript variant X2	nucleic acid binding	molecular_function	
LOC725134	GO:0006406	nuclear RNA export factor 1, transcript variant X2	mRNA export from nucleus	biological_process	
LOC725134	GO:0003723	nuclear RNA export factor 1, transcript variant X2	RNA binding	molecular_function	
LOC725134	GO:0042025	nuclear RNA export factor 1, transcript variant X2	host cell nucleus	cellular_component	
LOC725134	GO:0051028	nuclear RNA export factor 1, transcript variant X2	mRNA transport	biological_process	
LOC725134	GO:0005515	nuclear RNA export factor 1, transcript variant X2	protein binding	molecular_function	
GeneID_677676	GO:0005549	odorant binding protein 11	odorant binding	molecular_function	GB50937
GeneID_677676	GO:0005576	odorant binding protein 11	extracellular region	cellular_component	GB50937
GeneID_409469	GO:0005506	cytochrome P450 4G11	iron ion binding	molecular_function	GB51356
GeneID_409469	GO:0016705	cytochrome P450 4G11	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function	GB51356
GeneID_409469	GO:0020037	cytochrome P450 4G11	heme binding	molecular_function	GB51356
GeneID_409469	GO:0004497	cytochrome P450 4G11	monooxygenase activity	molecular_function	GB51356
GeneID_409469	GO:0016021	cytochrome P450 4G11	integral component of membrane	cellular_component	GB51356
GeneID_409469	GO:0016020	cytochrome P450 4G11	membrane	cellular_component	GB51356
GeneID_409469	GO:0046872	cytochrome P450 4G11	metal ion binding	molecular_function	GB51356
GeneID_409469	GO:0016491	cytochrome P450 4G11	oxidoreductase activity	molecular_function	GB51356
LOC552435	GO:0005509	ER degradation-enhancing alpha-mannosidase-like protein 3	calcium ion binding	molecular_function	GB53949
LOC552435	GO:0005975	ER degradation-enhancing alpha-mannosidase-like protein 3	carbohydrate metabolic process	biological_process	GB53949
LOC552435	GO:0016020	ER degradation-enhancing alpha-mannosidase-like protein 3	membrane	cellular_component	GB53949
LOC552435	GO:0004571	ER degradation-enhancing alpha-mannosidase-like protein 3	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	molecular_function	GB53949
LOC552435	GO:1904382	ER degradation-enhancing alpha-mannosidase-like protein 3	mannose trimming involved in glycoprotein ERAD pathway	biological_process	GB53949
LOC552435	GO:1904380	ER degradation-enhancing alpha-mannosidase-like protein 3	endoplasmic reticulum mannose trimming	biological_process	GB53949
LOC411013	GO:0016021	phosphatidylinositide phosphatase SAC1	integral component of membrane	cellular_component	GB44184
LOC411013	GO:0042578	phosphatidylinositide phosphatase SAC1	phosphoric ester hydrolase activity	molecular_function	GB44184
LOC411013	GO:0016791	phosphatidylinositide phosphatase SAC1	phosphatase activity	molecular_function	GB44184
LOC726320	GO:0005615	serine protease inhibitor 27A, transcript variant X3	extracellular space	cellular_component	GB55280
LOC726320	GO:0004867	serine protease inhibitor 27A, transcript variant X3	serine-type endopeptidase inhibitor activity	molecular_function	GB55280
LOC725734	GO:0003676	RNA-binding protein pno1	nucleic acid binding	molecular_function	GB51208
LOC725734	GO:0003723	RNA-binding protein pno1	RNA binding	molecular_function	GB51208
LOC552078	GO:0008270	glutamyl aminopeptidase-like, transcript variant X2	zinc ion binding	molecular_function	GB49578
LOC552078	GO:0008237	glutamyl aminopeptidase-like, transcript variant X2	metallopeptidase activity	molecular_function	GB49578
LOC552078	GO:0006508	glutamyl aminopeptidase-like, transcript variant X2	proteolysis	biological_process	GB49578
LOC724179	GO:0005524	ribosomal protein S6 kinase delta-1, transcript variant X1	ATP binding	molecular_function	GB47232
LOC724179	GO:0004672	ribosomal protein S6 kinase delta-1, transcript variant X1	protein kinase activity	molecular_function	GB47232
LOC724179	GO:0035091	ribosomal protein S6 kinase delta-1, transcript variant X1	phosphatidylinositol binding	molecular_function	GB47232
LOC724179	GO:0006468	ribosomal protein S6 kinase delta-1, transcript variant X1	protein phosphorylation	biological_process	GB47232
LOC100577784	GO:0003676	fanconi-associated nuclease 1, transcript variant X2	nucleic acid binding	molecular_function	GB52798
LOC100577784	GO:0016788	fanconi-associated nuclease 1, transcript variant X2	hydrolase activity, acting on ester bonds	molecular_function	GB52798
LOC100577784	GO:0004518	fanconi-associated nuclease 1, transcript variant X2	nuclease activity	molecular_function	GB52798
LOC100577784	GO:0036297	fanconi-associated nuclease 1, transcript variant X2	interstrand cross-link repair	biological_process	GB52798
LOC551974	GO:0000398	thioredoxin-like protein 4A, transcript variant X1	mRNA splicing, via spliceosome	biological_process	GB40801
LOC551974	GO:0005682	thioredoxin-like protein 4A, transcript variant X1	U5 snRNP	cellular_component	GB40801
LOC551974	GO:0046540	thioredoxin-like protein 4A, transcript variant X1	U4/U6 x U5 tri-snRNP complex	cellular_component	GB40801
LOC408564	GO:0016021	long-chain fatty acid transport protein 4, transcript variant X1	integral component of membrane	cellular_component	GB45935
LOC408564	GO:0003824	long-chain fatty acid transport protein 4, transcript variant X1	catalytic activity	molecular_function	GB45935
LOC100576383	GO:0005509	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6	calcium ion binding	molecular_function	GB55923
LOC100576383	GO:0005975	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6	carbohydrate metabolic process	biological_process	GB55923
LOC100576383	GO:0016020	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6	membrane	cellular_component	GB55923
LOC100576383	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	molecular_function	GB55923
LOC100576383	GO:0005549	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6	odorant binding	molecular_function	GB55923
LOC100576383	GO:0004984	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6	olfactory receptor activity	molecular_function	GB55923
LOC100576383	GO:0007608	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, transcript variant X6	sensory perception of smell	biological_process	GB55923
LOC100578260	GO:0005829	WD repeat-containing protein 91, transcript variant X2	cytosol	cellular_component	GB46189
LOC100578260	GO:0043551	WD repeat-containing protein 91, transcript variant X2	regulation of phosphatidylinositol 3-kinase activity	biological_process	GB46189
LOC100578260	GO:0045022	WD repeat-containing protein 91, transcript variant X2	early endosome to late endosome transport	biological_process	GB46189
LOC100578260	GO:0005515	WD repeat-containing protein 91, transcript variant X2	protein binding	molecular_function	GB46189
LOC552701	GO:0008270	NAD-dependent protein deacylase sirtuin-5, mitochondrial	zinc ion binding	molecular_function	GB52695
LOC552701	GO:0034979	NAD-dependent protein deacylase sirtuin-5, mitochondrial	NAD-dependent protein deacetylase activity	molecular_function	GB52695
LOC552701	GO:0036054	NAD-dependent protein deacylase sirtuin-5, mitochondrial	protein-malonyllysine demalonylase activity	molecular_function	GB52695
LOC552701	GO:0036055	NAD-dependent protein deacylase sirtuin-5, mitochondrial	protein-succinyllysine desuccinylase activity	molecular_function	GB52695
LOC552701	GO:0070403	NAD-dependent protein deacylase sirtuin-5, mitochondrial	NAD+ binding	molecular_function	GB52695
LOC552701	GO:0005739	NAD-dependent protein deacylase sirtuin-5, mitochondrial	mitochondrion	cellular_component	GB52695
LOC552701	GO:0016740	NAD-dependent protein deacylase sirtuin-5, mitochondrial	transferase activity	molecular_function	GB52695
LOC726405	GO:0005524	serine/threonine-protein kinase PAK mbt, transcript variant X2	ATP binding	molecular_function	GB55299
LOC726405	GO:0004672	serine/threonine-protein kinase PAK mbt, transcript variant X2	protein kinase activity	molecular_function	GB55299
LOC726405	GO:0004674	serine/threonine-protein kinase PAK mbt, transcript variant X2	protein serine/threonine kinase activity	molecular_function	GB55299
LOC726405	GO:0006468	serine/threonine-protein kinase PAK mbt, transcript variant X2	protein phosphorylation	biological_process	GB55299
LOC552709	GO:0005634	polypyrimidine tract-binding protein 2, transcript variant X6	nucleus	cellular_component	GB48840
LOC552709	GO:0003676	polypyrimidine tract-binding protein 2, transcript variant X6	nucleic acid binding	molecular_function	GB48840
LOC552709	GO:0003723	polypyrimidine tract-binding protein 2, transcript variant X6	RNA binding	molecular_function	GB48840
LOC552709	GO:0006397	polypyrimidine tract-binding protein 2, transcript variant X6	mRNA processing	biological_process	GB48840
GeneID_807695	GO:0046872	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	metal ion binding	molecular_function	
GeneID_807695	GO:0016021	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	integral component of membrane	cellular_component	
GeneID_807695	GO:0020037	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	heme binding	molecular_function	
GeneID_807695	GO:0004129	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	cytochrome-c oxidase activity	molecular_function	
GeneID_807695	GO:0009060	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	aerobic respiration	biological_process	
GeneID_807695	GO:0005743	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	mitochondrial inner membrane	cellular_component	
GeneID_807695	GO:0045277	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	respiratory chain complex IV	cellular_component	
GeneID_807695	GO:0006119	Cytochrome c oxidase subunit 1 [Source:UniProtKB/TrEMBL;Acc:A0A347ZMT3]	oxidative phosphorylation	biological_process	
